location_id,location_name,location_address,latitude,longitude,drop_off_point,,,,,
1,Suite 157,"69612 Will Ferry
Ewellfort, KS 63168",-60.101046,101.481031,7893 Zita Mission Suite 949,,,,,
2,Apt. 080,"711 Sammie Manor Apt. 863
North Derek, NC 10578-4530",43.715801,3.213285,456 Lucio Common,,,,,
3,Suite 057,"28742 Cole Forest Suite 483
Port Jettiestad, RI 73714",89.842723,176.244614,145 Hal Skyway,,,,,
4,Apt. 443,"356 Anderson Ridge Suite 742
North Napoleon, VT 49903-3077",58.93052,109.869865,783 Travis Junction Apt. 728,,,,,Query
5,Suite 615,"160 Skylar Union Apt. 740
New Elna, WY 49897-8734",79.842372,-61.397932,29350 Vandervort Estates,,,,,Select *
6,Apt. 102,"0552 Oran Forest Apt. 992
Murazikview, NH 38317",-33.883942,-170.177924,1097 Wellington Valleys Apt. 395,,,,,From location
7,Apt. 309,"6422 Nicolas Parkway Apt. 645
Port Chadrick, FL 35738-8854",-64.515628,8.086937,408 Arely Streets Suite 405,,,,,
8,Apt. 210,"7342 Lon Burgs Apt. 111
Griffinborough, VT 64308",86.553283,-141.049418,5539 Mohammad Heights,,,,,
9,Suite 985,"11269 Satterfield Knoll
Mauricehaven, WA 28902",5.180228,-52.389443,65717 Emmerich Walks,,,,,
10,Suite 343,"147 Rempel Fork Apt. 940
Lake Delbert, LA 88131",44.909586,153.999345,658 Muhammad Land,,,,,
11,Suite 534,"6402 Nienow Branch
Ariannatown, OK 28871-1749",-54.503176,-25.420009,27516 Elizabeth Road Suite 956,,,,,
12,Apt. 170,"500 Boyle Gardens
East Amaliamouth, NY 48976",-54.104944,162.891267,67672 Frederik Skyway,,,,,
13,Suite 059,"10112 Rau Station Apt. 761
Garryland, AL 55900-5843",2.597478,-155.953323,7712 Maddison Centers Suite 850,,,,,
14,Suite 699,"3808 Doyle Trail
East Silas, IA 37233-1658",30.753077,86.288575,136 O'Connell Cape,,,,,
