id,total_amount,balance,order_id,person_id,restaurant_id,,,,,
1,45,0,1,2,3,,,,,
2,56.2,3,2,2,2,,,,,
3,23,0,3,3,3,,,,,
4,60,0,4,4,4,,,,,
5,45,0,1,2,3,,,,,
6,56.2,3,2,2,2,,,,Query,
7,23,0,3,3,3,,,,Select*,
8,45,0,1,2,3,,,,From payment,
9,56.2,3,2,2,2,,,,,
10,45,0,1,2,3,,,,,
11,23,0,3,3,3,,,,,
12,56.2,3,2,2,2,,,,,
13,56.2,3,2,2,2,,,,,
14,45,0,1,2,3,,,,,
15,23,0,3,3,3,,,,,
16,56.2,3,2,2,2,,,,,
17,23,0,3,3,3,,,,,
18,45,0,1,2,3,,,,,
19,23,0,3,3,3,,,,,
20,56.2,3,2,2,2,,,,,
21,45,0,1,2,3,,,,,
22,23,0,3,3,3,,,,,
23,56.2,3,2,2,2,,,,,
24,45,0,1,2,3,,,,,
25,23,0,3,3,3,,,,,
26,45,0,1,2,3,,,,,
27,45,0,1,2,3,,,,,
28,23,0,3,3,3,,,,,
29,56.2,3,2,2,2,,,,,
30,45,0,1,2,3,,,,,
31,23,0,3,3,3,,,,,
32,45,0,1,2,3,,,,,
33,56.2,3,2,2,2,,,,,
34,45,0,1,2,3,,,,,
35,23,0,3,3,3,,,,,
36,56.2,3,2,2,2,,,,,
37,45,0,1,2,3,,,,,
38,23,0,3,3,3,,,,,
39,45,0,1,2,3,,,,,
40,23,0,3,3,3,,,,,
41,56.2,3,2,2,2,,,,,
42,23,0,3,3,3,,,,,
43,45,0,1,2,3,,,,,
44,56.2,3,2,2,2,,,,,
45,23,0,3,3,3,,,,,
46,45,0,1,2,3,,,,,
47,23,0,3,3,3,,,,,
48,56.2,3,2,2,2,,,,,
49,23,0,3,3,3,,,,,
50,45,0,1,2,3,,,,,
51,56.2,3,2,2,2,,,,,
52,45,0,1,2,3,,,,,
53,45,0,1,2,3,,,,,
54,23,0,3,3,3,,,,,
55,56.2,3,2,2,2,,,,,
56,45,0,1,2,3,,,,,
57,23,0,3,3,3,,,,,
58,56.2,3,2,2,2,,,,,
59,45,0,1,2,3,,,,,
60,23,0,3,3,3,,,,,
61,56.2,3,2,2,2,,,,,
62,45,0,1,2,3,,,,,
63,23,0,3,3,3,,,,,
64,45,0,1,2,3,,,,,
65,23,0,3,3,3,,,,,
66,56.2,3,2,2,2,,,,,
67,45,0,1,2,3,,,,,
68,23,0,3,3,3,,,,,
69,56.2,3,2,2,2,,,,,
70,45,0,1,2,3,,,,,
71,23,0,3,3,3,,,,,
72,45,0,1,2,3,,,,,
73,56.2,3,2,2,2,,,,,
74,45,0,1,2,3,,,,,
75,56.2,3,2,2,2,,,,,
76,45,0,1,2,3,,,,,
77,23,0,3,3,3,,,,,
78,56.2,3,2,2,2,,,,,
79,45,0,1,2,3,,,,,
80,56.2,3,2,2,2,,,,,
81,23,0,3,3,3,,,,,
82,45,0,1,2,3,,,,,
83,23,0,3,3,3,,,,,
84,56.2,3,2,2,2,,,,,
85,45,0,1,2,3,,,,,
86,45,0,1,2,3,,,,,
87,56.2,3,2,2,2,,,,,
88,45,0,1,2,3,,,,,
89,23,0,3,3,3,,,,,
90,56.2,3,2,2,2,,,,,
91,45,0,1,2,3,,,,,
92,23,0,3,3,3,,,,,
93,45,0,1,2,3,,,,,
94,23,0,3,3,3,,,,,
95,56.2,3,2,2,2,,,,,
96,45,0,1,2,3,,,,,
97,56.2,3,2,2,2,,,,,
98,45,0,1,2,3,,,,,
99,56.2,3,2,2,2,,,,,
100,45,0,1,2,3,,,,,
